"id","PUMA.x","STATEFIP.x","tot_persons_point","essential_point","crowd_essential_point","crowd_point","crowd_essential_point_perc","essential_point_perc","crowd_point_perc","crowd_se","essential_se","crowd_essential_se","crowd_perc_se","essential_perc_se","crowd_essential_perc_se","state_name","STATEFIP.y","puma_name","PUMA.y"
"49_35006",35006,49,124443,96064.0556137104,5164.79994835998,6510,0.0415033384630713,0.771952264198953,0.0523131072057086,1598.70374053481,2241.66097133545,1426.86733394766,0.0128196989303744,0.0162314977315159,0.0114500349685563,"Utah","49","Salt Lake County--West Jordan (West), Herriman & South Jordan (West) Cities",35006
"49_35007",35007,49,164598,117278.086207945,7159.48346819679,7875,0.0434967828782658,0.712512218908763,0.0478438377137025,1537.29634423555,1919.24340730883,1500.02192781094,0.00936665047947947,0.0109183712496888,0.0091431874908355,"Utah","49","Salt Lake County--West Jordan (East), South Jordan (East) & Riverton Cities",35007
"49_35008",35008,49,105983,67222.4606847442,4987.01700651981,5832,0.0470548767870301,0.634275880893579,0.0550276931205948,1194.94621217861,1274.7047830379,1113.81591713071,0.0112827659303183,0.0118339217039036,0.0105455217184691,"Utah","49","Salt Lake County (Southeast)--Sandy (North), Cottonwood Heights & Midvale Cities",35008
"49_35009",35009,49,105931,71316.5199383219,2382.10531160105,2951,0.0224873295975782,0.673235596174131,0.0278577564641134,908.347207845106,1714.33198314836,792.692360645628,0.00855963449952114,0.0148957485052316,0.00746684915219841,"Utah","49","Salt Lake County (South & East Central)--Draper (Northwest) & Sandy (South) Cities",35009
"49_49001",49001,49,132098,95397.1686840641,6089.5218689367,8771,0.0460985167749451,0.722169667096126,0.0663976744538146,1362.17001508622,1876.28933535363,1128.87651123575,0.0102699149987452,0.013696080987933,0.00851754590829928,"Utah","49","Utah County (West)--Saratoga Springs, Payson & Lehi (Southwest) Cities",49001
"49_49002",49002,49,175676,121092.676439375,9547.69375253886,12078,0.0543483102560331,0.68929550103244,0.0687515653817254,1225.48531202948,1870.38849476866,1123.61267326384,0.00698761852400724,0.0105568667893353,0.00641157423961862,"Utah","49","Utah County (Central)--Orem, Pleasant Grove, American Fork & Lindon Cities",49002
"49_49003",49003,49,105230,73455.0422273168,11550.3911769832,14157,0.109763291618201,0.69804278463667,0.134533878171624,1353.9244993721,1422.04632078985,1227.62281206632,0.0128679790728903,0.0131761658784746,0.0116799552256529,"Utah","49","Utah County (Central)--Provo City",49003
"49_49004",49004,49,162173,109065.860820682,7288.38337014261,8864,0.0449420271570645,0.672527861115485,0.0546576803783614,1012.13862686887,1857.24525211582,987.9989429651,0.00622660796373688,0.010807707944852,0.00606939414546048,"Utah","49","Utah County (East)--Spanish Fork, Springville, Lehi (Northeast) & Highland Cities",49004
"49_5001",5001,49,173559,116869.414311201,6838.98523620141,9625,0.0394043825799954,0.673369945155256,0.0554566458668234,1016.47634010832,1477.63593645063,913.314450758029,0.0058509525881937,0.00834926842450985,0.00524816791516538,"Utah","49","Cache, Summit, Morgan & Rich Counties",5001
"49_53001",53001,49,158509,91885.1493546295,11075.6072109861,15642,0.0698736804281531,0.579684114811333,0.0986820937612375,1787.82724277263,1946.68740708257,1421.87811622854,0.0112909783674401,0.0121517874458195,0.00897630267500879,"Utah","49","Washington County--St. George City",53001
