"PUMA","STATEFIP","tot_persons_point","essential_point","crowd_essential_point","crowd_point","crowd_essential_point_perc","essential_point_perc","crowd_point_perc","crowd_se","essential_se","crowd_essential_se","crowd_perc_se","essential_perc_se","crowd_essential_perc_se"
11611,53,130910,89748.2606901856,14963.4897677699,19490,0.114303641950729,0.685572230465095,0.148880910549232,1734.45247844961,1664.23185902423,1568.00189133577,0.0130949320168368,0.0117935832850196,0.0118960962383581
11608,53,145094,86725.4258010023,5418.73006118275,7610,0.0373463414144124,0.597718898100557,0.0524487573572994,914.173041606456,1628.50278025569,610.241690016345,0.00629806392656625,0.0110417813323528,0.0041926816386205
11802,53,127593,78725.5676891602,4263.40110159421,6286,0.0334140673986364,0.617005381871734,0.0492660255656658,1010.70247847722,1572.90806619289,881.727969719596,0.0078880725661818,0.0113928657903262,0.00692367301845506
11606,53,119920,77423.0007225652,3307.7764016394,4069,0.0275831921417562,0.645622087412985,0.0339309539693129,668.535077613733,1200.23031566997,610.924853609681,0.00556667179092852,0.00987680880265899,0.00508877869247694
10901,53,121612,71513.4223658772,9755.17043338532,15993,0.0802155250582617,0.588045771518248,0.131508403775943,1586.25806538533,1914.2617390089,1166.4047812725,0.0131690238681959,0.0148354877261348,0.00965756671810639
11605,53,141486,88464.5998120062,8151.7685710215,10113,0.0576153723408783,0.625253380631343,0.0714770365972605,1296.84135498526,1825.93666883194,1193.94569907223,0.00912623679407466,0.010887338629148,0.00838610709876204
10702,53,115089,71225.542171244,6890.40523142407,9054,0.0598702328756359,0.618873586278828,0.0786695513906629,1193.66521688453,1531.59630469113,1075.40255592341,0.010327648608658,0.0132039296429199,0.00931910537804455
10200,53,217875,124768.444174039,12127.5428983499,16750,0.0556628474967293,0.572660673202703,0.0768789443488239,1450.53316059992,1693.25943631492,1212.03732426714,0.00665074025485599,0.00772099738667689,0.00555857351962462
11603,53,139164,76154.7532983375,6717.85858222096,9995,0.04827296270746,0.547230270029156,0.0718217355063091,1039.477633237,1702.30779340937,813.200380324392,0.00732529175782821,0.0107922799183973,0.0057461903533691
11401,53,163828,98819.7645956159,4754.02954085205,5697,0.0290184189567842,0.603192156381179,0.0347742754596284,883.934528118457,1664.99621369722,786.648288434332,0.00537955629997018,0.0087529289680481,0.00478285819050992
11609,53,148515,90339.7651422956,2456.30653290956,3597,0.0165391141158103,0.60828714367098,0.0242197757802242,679.349210642067,1624.59893985087,657.681720452551,0.00458364354264791,0.010649744556068,0.00443354060752667
