"PUMA","STATEFIP","tot_persons_point","essential_point","crowd_essential_point","crowd_point","crowd_essential_point_perc","essential_point_perc","crowd_point_perc","crowd_se","essential_se","crowd_essential_se","crowd_perc_se","essential_perc_se","crowd_essential_perc_se","poc_ind"
9905,12,53808,28137.5027177248,1274.741411348,1827,0.023690555518659,0.522924151013322,0.0339540588760036,481.980030706667,1027.56008284382,380.686537017663,0.00883507643364183,0.0158619147551536,0.00699494801730268,0
8608,12,120033,76842.4032113718,10029.7153758582,13200,0.0835579830201548,0.640177311334148,0.109969758316463,1110.87544306281,1581.33851298357,1088.97026170477,0.00923290857415331,0.0118803102348848,0.00906615725206017,1
1107,12,97829,64593.2018359171,12307.039108828,16152,0.125801542577641,0.660266401945406,0.165104416890697,1492.68658800165,1788.29252187947,1178.29424026097,0.0153119870388055,0.0157554465715177,0.0119634309897474,1
9300,12,53931,25526.1666753167,2024.23393413101,2893,0.0375337734166065,0.47331157729908,0.0536426174185533,600.657639591806,818.318188047388,480.439075708711,0.0111315398957941,0.0151948980514326,0.00890853446019206,0
1500,12,146798,57496.9946409889,4628.61481880692,6196,0.0315305032684841,0.391674236985442,0.0422076595048979,969.20297151835,1421.63810810157,972.627979801489,0.00659563068313311,0.00965796525250811,0.00662206375489591,0
903,12,93044,49408.6697966799,2262.99847595874,2694,0.0243218098529592,0.531024781787971,0.0289540432483556,823.115392882432,1340.453908923,809.792984786206,0.0088038489635314,0.0125942318334887,0.00867118066767203,0
1900,12,54606,39244.2449665853,2251.75906071048,3559,0.0412364769569366,0.718680089488065,0.0651759879866681,702.445158001676,965.23731190832,542.770914479535,0.0128732311177292,0.0177237256140878,0.00994681226012997,1
9910,12,75203,36866.1100746354,363.313342177825,844,0.0048311017137325,0.490221268761025,0.0112229565309895,312.1103170355,1205.08832195418,140.639829470665,0.00416192866562083,0.0130119663451693,0.0018758824891111,0
8303,12,94590,35292.813434378,1468.76810792256,3217,0.0155277313449896,0.373113578965832,0.0340099376255418,814.534161346226,1419.18012128848,465.894466966248,0.00858573433080938,0.0132223914944667,0.00495652121556275,0
11101,12,60788,22777.2438556788,741.383597203194,1995,0.0121962163124826,0.374699675193769,0.0328189774297559,485.023504585087,970.839939319595,278.608720266285,0.00792211759422952,0.0149766997319722,0.00458059729131916,0
3302,12,109170,57004.9087486823,1994.09952840593,3212,0.0182660028250062,0.522166426203923,0.0294220023816067,645.047401359001,1443.60924615079,524.867988086056,0.00594368789205173,0.0119667591699384,0.00484549586576058,0
8606,12,102543,66428.6731447169,15630.6097056568,21003,0.152429807062957,0.647812850655012,0.204821392001404,1689.07890579452,2090.7538170107,1683.47581657489,0.0167481646279452,0.0156281932541576,0.0165273466831099,1
5706,12,53454,34928.7405037007,6787.35335453818,9581,0.126975593118161,0.653435486655829,0.179238223519288,1110.0018693678,1434.40079300412,994.66795214154,0.0201466554388328,0.0199990631138573,0.018264215707077,1
12703,12,119550,55679.7941225985,1469.70145355052,2455,0.0122936131622796,0.465744827457955,0.0205353408615642,574.542687709103,1345.37705356863,457.347043349105,0.00480422449355951,0.0114542324143498,0.00383622627922036,0
5703,12,79576,53120.6617925068,4153.03042070522,5580,0.0521894845268073,0.667546267624746,0.0701216447170001,1117.87230934486,1635.85699426907,958.886637184406,0.0138790152730901,0.0148826002223525,0.0120263072049092,1
9908,12,88499,31895.6211867224,1030.21683258906,1656,0.0116409997015679,0.360406571675639,0.0187120758426649,466.197007712405,1180.15210645812,382.39205706383,0.00524005620244139,0.0119998642865012,0.00431558061832386,0
9300,12,44534,24803.839632095,4261.17047592396,8988,0.0956835333885113,0.556964109042416,0.201823325998114,1148.28003988574,993.379531793679,865.33785881848,0.0253844022287347,0.0209540467380661,0.0192425970588492,1
10101,12,87671,42917.0385014475,2000.08779422036,2715,0.0228135620013501,0.489523770704652,0.0309680510088855,667.847362800812,1254.91121561946,596.621833012692,0.00757181697615216,0.0114906513496876,0.00676754283969398,0
5703,12,79751,46208.6358492689,1143.43741627074,1646,0.014337593463038,0.579411365992512,0.0206392396333588,457.381077439808,1365.54958737094,387.631880342924,0.00579853438652196,0.01381281623791,0.00490498082929145,0
8622,12,103611,71909.936549227,8712.29836332122,12220,0.0840866159319109,0.694037665394861,0.117941145245196,1333.83786495961,2281.98011698058,1172.96298890924,0.0128356640076852,0.0156763119038735,0.0110607914278491,1
2101,12,93796,34668.3089431353,839,1086,0.00894494434730692,0.369613938154455,0.0115783189048573,411.861202348558,1334.07613743569,380.101565374309,0.0043849306827452,0.0130142002222832,0.00405076518811813,0
